,verdict,buying,doors,persons,safety,condprob
48,acc,med,4,more,high,0.3333333333333333
49,unacc,vhigh,3,4,low,1.0
50,unacc,med,2,2,low,1.0
51,unacc,high,3,more,med,0.4
52,unacc,vhigh,3,4,high,0.42857142857142855
53,acc,med,4,4,med,0.6666666666666666
54,acc,med,5more,more,med,0.6666666666666666
55,unacc,vhigh,3,2,high,0.10526315789473684
56,unacc,med,2,4,med,0.5833333333333334
57,acc,low,3,4,high,0.25
58,good,med,3,more,high,0.3333333333333333
59,acc,vhigh,5more,more,high,0.5
60,good,med,5more,more,med,0.6666666666666666
61,good,med,3,more,med,0.6666666666666666
62,vgood,med,2,4,high,0.16666666666666666
63,unacc,high,4,more,med,0.4
64,unacc,high,3,4,low,1.0
65,unacc,high,4,4,high,0.6
66,unacc,med,3,4,low,1.0
67,unacc,high,3,more,low,1.0
68,acc,vhigh,2,4,med,0.23809523809523808
69,acc,vhigh,5more,4,high,0.5
70,unacc,med,3,more,med,0.6666666666666666
71,good,low,3,4,high,0.25
72,acc,med,3,4,high,0.16666666666666666
73,unacc,low,5more,2,med,1.0
74,acc,low,3,more,med,0.5833333333333334
75,vgood,med,3,4,high,0.16666666666666666
76,acc,vhigh,3,4,med,0.14285714285714285
77,acc,med,2,4,high,0.16666666666666666
78,acc,vhigh,5more,more,med,0.3333333333333333
79,unacc,low,2,more,low,1.0
80,acc,high,4,4,med,0.4
81,unacc,high,5more,4,low,1.0
82,unacc,vhigh,5more,4,high,0.5
83,unacc,low,2,4,low,1.0
84,unacc,vhigh,5more,more,med,0.3333333333333333
85,acc,high,5more,4,high,0.6
86,good,med,4,more,high,0.3333333333333333
87,vgood,low,4,more,high,0.5
88,unacc,vhigh,5more,more,high,0.5
89,acc,high,5more,more,med,0.35294117647058826
90,unacc,vhigh,4,more,low,1.0
91,unacc,med,3,more,low,1.0
92,acc,vhigh,3,2,high,0.10526315789473684
93,good,med,4,4,high,0.3333333333333333
94,unacc,vhigh,2,2,low,0.2631578947368421
95,unacc,vhigh,5more,4,low,1.0
96,acc,low,2,more,high,0.25
97,good,low,2,more,med,0.4166666666666667
98,acc,med,2,more,high,0.16666666666666666
99,acc,med,4,4,high,0.3333333333333333
100,unacc,low,2,more,high,0.25
101,unacc,med,3,2,high,1.0
102,unacc,med,5more,2,med,1.0
103,unacc,high,5more,4,med,0.4
104,acc,med,3,more,high,0.3333333333333333
105,unacc,high,4,4,low,1.0
106,vgood,med,5more,more,high,0.3333333333333333
107,good,med,3,4,med,0.5833333333333334
108,unacc,vhigh,2,2,high,0.21052631578947367
109,good,low,5more,4,high,0.5
110,acc,low,4,4,med,0.5833333333333334
111,unacc,high,3,2,high,1.0
112,unacc,vhigh,2,more,med,0.23809523809523808
113,good,med,5more,4,med,0.6666666666666666
114,good,med,5more,more,high,0.3333333333333333
115,acc,high,4,more,med,0.4
116,unacc,high,3,4,high,0.6
117,acc,vhigh,2,4,low,0.14285714285714285
118,unacc,vhigh,3,2,med,0.10526315789473684
119,unacc,vhigh,4,2,low,1.0
120,unacc,low,3,2,med,1.0
121,unacc,low,4,4,med,0.5833333333333334
122,acc,low,5more,more,high,0.5
123,good,low,2,more,high,0.25
124,good,low,3,more,med,0.5833333333333334
125,unacc,vhigh,3,more,low,1.0
126,vgood,low,5more,4,high,0.5
127,unacc,low,3,2,high,1.0
128,unacc,vhigh,4,2,med,1.0
129,unacc,low,2,more,med,0.4166666666666667
130,acc,high,5more,more,high,0.5294117647058824
131,unacc,low,2,2,low,1.0
132,unacc,med,4,4,med,0.6666666666666666
133,acc,vhigh,3,more,med,0.3333333333333333
134,unacc,low,4,2,high,1.0
135,unacc,high,4,2,high,1.0
136,unacc,low,2,2,high,1.0
137,unacc,low,3,more,low,1.0
138,unacc,vhigh,5more,2,med,1.0
139,acc,low,2,4,high,0.25
140,acc,high,2,4,med,0.1875
141,acc,vhigh,4,more,high,0.5
142,acc,low,3,more,high,0.5
143,unacc,low,5more,4,med,0.5833333333333334
144,acc,vhigh,4,4,high,0.5
145,good,low,5more,more,high,0.5
146,acc,high,2,more,high,0.4
147,unacc,high,3,4,med,0.2
148,acc,high,2,4,high,0.625
149,unacc,med,4,2,low,1.0
150,unacc,vhigh,4,more,high,0.5
151,unacc,high,5more,2,med,1.0
152,acc,vhigh,2,2,high,0.21052631578947367
153,good,med,3,4,high,0.16666666666666666
154,unacc,high,5more,2,high,1.0
155,acc,high,4,more,high,0.6
156,unacc,high,4,2,med,1.0
157,unacc,high,4,2,low,1.0
158,good,med,4,4,med,0.6666666666666666
159,unacc,vhigh,4,4,high,0.5
160,good,med,5more,4,high,0.3333333333333333
161,good,low,3,4,med,0.6666666666666666
162,acc,med,5more,4,high,0.3333333333333333
163,unacc,high,2,more,low,1.0
164,acc,low,2,4,med,0.6666666666666666
165,vgood,med,3,more,high,0.3333333333333333
166,acc,med,3,more,med,0.6666666666666666
167,unacc,high,2,2,med,1.0
168,unacc,high,5more,2,low,1.0
169,unacc,low,4,2,med,1.0
170,unacc,low,3,2,low,1.0
171,acc,high,4,4,high,0.6
172,acc,low,4,more,high,0.5
173,unacc,vhigh,2,more,low,0.14285714285714285
174,acc,vhigh,2,2,med,0.21052631578947367
175,unacc,med,5more,2,low,1.0
176,acc,high,5more,4,med,0.4
177,unacc,vhigh,2,4,high,0.42857142857142855
178,unacc,vhigh,4,4,med,0.3333333333333333
179,unacc,vhigh,3,more,high,0.5
180,unacc,med,4,more,med,0.6666666666666666
181,unacc,vhigh,5more,4,med,0.3333333333333333
182,unacc,med,4,4,low,1.0
183,good,low,5more,4,med,0.5833333333333334
184,acc,low,5more,more,med,0.5833333333333334
185,unacc,high,4,more,low,1.0
186,unacc,low,4,more,low,1.0
187,unacc,low,5more,2,high,1.0
188,vgood,med,2,more,high,0.16666666666666666
189,unacc,low,5more,4,low,1.0
190,unacc,high,5more,4,high,0.6
191,unacc,vhigh,5more,2,low,1.0
192,acc,vhigh,4,more,med,0.3333333333333333
193,acc,vhigh,3,4,high,0.42857142857142855
194,unacc,med,3,2,med,1.0
195,unacc,med,3,2,low,1.0
196,acc,vhigh,3,more,high,0.5
197,unacc,low,3,4,med,0.6666666666666666
198,unacc,high,2,2,high,1.0
199,vgood,low,3,4,high,0.25
200,acc,vhigh,2,more,high,0.3333333333333333
201,acc,med,3,4,med,0.5833333333333334
202,acc,vhigh,3,2,low,0.14285714285714285
203,unacc,vhigh,3,4,med,0.14285714285714285
204,acc,vhigh,2,4,high,0.42857142857142855
205,vgood,low,5more,more,high,0.5
206,acc,med,5more,more,high,0.3333333333333333
207,unacc,high,5more,more,med,0.35294117647058826
208,acc,high,2,more,med,0.2
209,unacc,vhigh,5more,2,high,1.0
210,acc,vhigh,5more,4,med,0.3333333333333333
211,acc,med,4,more,med,0.6666666666666666
212,unacc,low,4,2,low,1.0
213,good,low,2,4,med,0.6666666666666666
214,good,low,4,4,med,0.5833333333333334
215,acc,med,2,4,med,0.5833333333333334
216,unacc,vhigh,4,more,med,0.3333333333333333
217,acc,med,5more,4,med,0.6666666666666666
218,acc,low,4,4,high,0.5
219,unacc,med,5more,more,med,0.6666666666666666
220,unacc,med,5more,more,low,1.0
221,unacc,med,2,more,med,0.4166666666666667
222,vgood,low,3,more,high,0.5
223,unacc,med,4,more,low,1.0
224,unacc,vhigh,4,4,low,1.0
225,good,med,2,4,high,0.16666666666666666
226,unacc,vhigh,5more,more,low,1.0
227,vgood,med,4,more,high,0.3333333333333333
228,unacc,high,2,more,med,0.2
229,acc,low,3,4,med,0.6666666666666666
230,good,med,2,more,high,0.16666666666666666
231,vgood,low,4,4,high,0.5
232,unacc,high,2,2,low,1.0
233,unacc,low,3,more,med,0.5833333333333334
234,unacc,low,5more,2,low,1.0
235,unacc,high,3,2,med,1.0
236,unacc,high,4,more,high,0.6
237,unacc,vhigh,2,2,med,0.21052631578947367
238,unacc,low,5more,more,med,0.5833333333333334
239,acc,vhigh,2,more,low,0.14285714285714285
240,acc,high,3,4,high,0.6
241,unacc,med,3,4,med,0.5833333333333334
242,acc,low,5more,4,high,0.5
243,good,med,2,more,med,0.4166666666666667
244,unacc,vhigh,2,4,low,0.14285714285714285
245,unacc,low,2,2,med,1.0
246,good,med,4,more,med,0.6666666666666666
247,unacc,high,3,more,high,0.6
248,acc,low,4,more,med,0.5833333333333334
249,good,low,4,more,med,0.5833333333333334
