,buying,maint,doors,persons,lug_boot,safety,verdict,condprob
90,high,high,2,more,small,high,high,1.0
91,high,vhigh,5more,more,big,med,med,1.0
92,high,low,3,4,med,high,high,1.0
93,med,med,2,4,big,high,high,1.0
94,med,low,5more,more,small,high,high,1.0
95,vhigh,med,4,2,med,high,high,1.0
96,med,vhigh,4,4,big,high,high,1.0
97,vhigh,med,5more,4,med,low,low,1.0
98,med,high,3,2,big,low,low,1.0
99,vhigh,vhigh,2,4,big,med,med,1.0
100,med,vhigh,5more,2,med,high,high,1.0
101,vhigh,med,4,2,med,low,low,1.0
102,low,low,5more,4,med,low,low,1.0
103,high,high,2,2,big,high,high,1.0
104,med,med,2,more,small,high,high,1.0
105,high,high,4,2,med,low,low,1.0
106,low,vhigh,4,2,small,high,high,1.0
107,vhigh,low,4,2,big,high,high,1.0
108,low,med,5more,4,big,low,low,1.0
109,low,vhigh,5more,more,small,high,high,1.0
110,low,high,3,more,small,low,low,1.0
111,high,high,4,2,big,high,high,1.0
112,high,vhigh,5more,2,small,high,high,1.0
113,vhigh,low,2,2,small,high,high,1.0
114,low,vhigh,4,4,small,high,high,1.0
115,high,low,3,2,big,low,low,1.0
116,vhigh,high,5more,4,big,med,med,1.0
117,vhigh,high,4,4,med,low,low,1.0
118,low,low,3,2,med,med,med,1.0
119,vhigh,high,5more,more,small,low,low,1.0
120,vhigh,vhigh,5more,4,med,med,med,1.0
121,high,med,5more,more,small,med,med,1.0
122,med,high,4,4,med,high,high,1.0
123,vhigh,vhigh,4,2,big,med,med,1.0
124,vhigh,low,2,2,big,high,high,1.0
125,high,high,4,more,small,high,high,1.0
126,med,vhigh,2,4,big,med,med,1.0
127,high,high,2,more,med,low,low,1.0
128,med,med,5more,4,med,low,low,1.0
129,med,vhigh,5more,2,small,high,high,1.0
130,high,med,4,more,big,med,med,1.0
131,high,low,5more,more,med,low,low,1.0
132,vhigh,med,3,4,big,high,high,1.0
133,med,med,2,4,big,med,med,1.0
134,low,vhigh,2,2,med,med,med,1.0
135,high,high,3,4,med,med,med,1.0
136,high,vhigh,5more,2,small,med,med,1.0
137,med,vhigh,3,2,small,med,med,1.0
138,high,high,4,more,big,high,high,1.0
139,high,med,3,more,big,med,med,1.0
140,med,low,2,more,small,med,med,1.0
141,low,vhigh,2,2,small,low,low,1.0
142,med,high,5more,2,big,low,low,1.0
143,high,med,4,more,med,high,high,1.0
144,high,high,5more,4,big,low,low,1.0
145,low,low,5more,4,med,med,med,1.0
146,med,low,2,2,small,med,med,1.0
147,med,low,2,4,med,high,high,1.0
148,vhigh,low,5more,more,med,low,low,1.0
149,med,low,4,4,small,low,low,1.0
150,med,high,5more,2,med,high,high,1.0
151,high,med,5more,2,big,low,low,1.0
152,low,low,3,more,big,low,low,1.0
153,high,high,5more,4,med,med,med,1.0
154,med,med,2,more,med,low,low,1.0
155,vhigh,high,2,4,big,low,low,1.0
156,vhigh,low,3,2,big,med,med,1.0
157,med,high,2,2,small,low,low,1.0
158,high,vhigh,4,more,big,med,med,1.0
159,vhigh,low,5more,4,big,med,med,1.0
160,low,low,4,4,med,high,high,1.0
161,high,high,3,4,med,high,high,1.0
162,vhigh,low,5more,2,med,low,low,1.0
163,high,vhigh,3,4,big,high,high,1.0
164,med,med,4,more,big,high,high,1.0
165,med,med,3,4,med,high,high,1.0
166,med,low,4,more,big,high,high,1.0
167,vhigh,high,3,more,small,high,high,1.0
168,low,high,4,more,big,low,low,1.0
169,vhigh,low,5more,2,small,high,high,1.0
170,low,low,4,4,med,med,med,1.0
171,vhigh,low,3,more,big,high,high,1.0
172,med,vhigh,4,more,med,med,med,1.0
173,low,med,4,4,small,high,high,1.0
174,high,med,5more,more,big,med,med,1.0
175,high,low,2,more,med,med,med,1.0
176,med,high,5more,2,big,high,high,1.0
177,vhigh,low,2,2,big,med,med,1.0
178,low,high,4,4,small,high,high,1.0
179,low,med,2,4,med,med,med,1.0
180,vhigh,med,3,2,small,high,high,1.0
181,low,high,5more,4,big,med,med,1.0
182,high,med,5more,2,med,low,low,1.0
183,vhigh,low,5more,4,big,low,low,1.0
184,high,low,3,2,small,low,low,1.0
185,med,med,3,2,small,med,med,1.0
186,low,high,5more,4,med,low,low,1.0
187,med,vhigh,4,2,med,med,med,1.0
188,med,med,3,more,med,low,low,1.0
189,vhigh,vhigh,5more,2,small,high,high,1.0
190,low,med,3,2,med,high,high,1.0
191,low,vhigh,2,2,small,med,med,1.0
192,low,med,2,2,small,med,med,1.0
193,high,vhigh,4,4,big,high,high,1.0
194,high,med,5more,4,med,low,low,1.0
195,low,high,4,more,small,high,high,1.0
196,med,high,5more,more,big,high,high,1.0
197,high,high,5more,4,small,high,high,1.0
198,med,high,2,more,big,med,med,1.0
199,low,med,2,4,small,low,low,1.0
200,high,low,4,2,big,low,low,1.0
201,vhigh,high,2,2,med,med,med,1.0
202,vhigh,med,5more,2,big,med,med,1.0
203,vhigh,vhigh,2,4,small,low,low,1.0
204,vhigh,high,3,more,small,low,low,1.0
205,med,low,3,2,big,high,high,1.0
206,med,high,5more,more,big,low,low,1.0
207,low,low,4,2,med,low,low,1.0
208,vhigh,med,5more,4,small,high,high,1.0
209,low,vhigh,3,2,small,med,med,1.0
210,med,med,5more,more,med,high,high,1.0
211,high,vhigh,4,2,med,high,high,1.0
212,vhigh,high,2,4,med,med,med,1.0
213,med,med,2,more,small,med,med,1.0
214,high,low,2,2,big,low,low,1.0
215,vhigh,high,3,more,small,med,med,1.0
216,vhigh,high,5more,4,big,low,low,1.0
217,high,vhigh,4,2,big,low,low,1.0
218,high,low,4,4,big,med,med,1.0
219,med,low,2,4,med,low,low,1.0
220,med,high,3,2,small,med,med,1.0
221,high,high,5more,2,med,med,med,1.0
222,vhigh,high,3,4,big,high,high,1.0
223,low,med,3,more,big,med,med,1.0
224,med,low,4,4,big,med,med,1.0
225,low,high,5more,2,small,low,low,1.0
226,high,med,4,2,small,low,low,1.0
227,low,med,5more,more,small,high,high,1.0
228,high,low,5more,4,med,high,high,1.0
229,vhigh,high,3,more,big,high,high,1.0
230,med,vhigh,4,more,small,med,med,1.0
231,vhigh,med,2,2,small,med,med,1.0
232,vhigh,low,5more,more,med,high,high,1.0
233,vhigh,med,5more,2,small,med,med,1.0
234,high,low,2,4,small,low,low,1.0
235,low,high,4,4,small,med,med,1.0
236,med,vhigh,5more,4,small,high,high,1.0
237,high,high,3,2,med,med,med,1.0
238,vhigh,med,2,4,big,high,high,1.0
239,med,high,2,more,med,high,high,1.0
240,high,high,3,4,big,low,low,1.0
241,high,med,5more,4,big,low,low,1.0
242,med,med,4,2,med,high,high,1.0
243,low,low,3,4,small,med,med,1.0
244,vhigh,low,2,more,med,low,low,1.0
245,med,vhigh,4,4,med,high,high,1.0
246,vhigh,vhigh,2,2,big,med,med,1.0
247,high,high,4,2,small,med,med,1.0
248,med,low,3,more,big,med,med,1.0
249,low,vhigh,2,more,big,high,high,1.0
250,med,vhigh,3,more,med,low,low,1.0
251,low,low,5more,more,big,low,low,1.0
252,vhigh,high,5more,more,med,high,high,1.0
253,high,high,5more,4,med,low,low,1.0
254,low,med,2,2,small,high,high,1.0
255,vhigh,low,3,more,med,med,med,1.0
256,vhigh,vhigh,4,4,big,high,high,1.0
257,vhigh,med,2,4,med,high,high,1.0
258,low,vhigh,2,4,big,high,high,1.0
259,vhigh,vhigh,3,4,med,high,high,1.0
260,high,vhigh,4,2,big,high,high,1.0
261,low,med,5more,more,med,high,high,1.0
262,med,low,2,2,big,med,med,1.0
263,high,med,2,2,med,low,low,1.0
264,med,vhigh,2,2,small,high,high,1.0
265,med,vhigh,5more,2,big,low,low,1.0
266,med,med,3,more,med,high,high,1.0
267,low,med,4,more,big,high,high,1.0
268,high,vhigh,3,2,small,high,high,1.0
269,high,vhigh,2,2,small,med,med,1.0
270,vhigh,high,5more,2,med,med,med,1.0
271,vhigh,med,3,2,med,low,low,1.0
272,vhigh,high,3,4,med,med,med,1.0
273,vhigh,vhigh,5more,4,small,high,high,1.0
274,high,high,5more,more,med,med,med,1.0
275,med,med,4,more,big,med,med,1.0
276,vhigh,med,4,more,small,high,high,1.0
277,med,high,4,2,med,low,low,1.0
278,med,low,5more,2,small,low,low,1.0
279,med,low,4,more,big,med,med,1.0
280,med,vhigh,5more,2,med,low,low,1.0
281,low,med,3,2,big,low,low,1.0
282,med,high,4,more,small,high,high,1.0
283,med,vhigh,4,2,big,high,high,1.0
284,low,vhigh,5more,2,small,med,med,1.0
285,high,med,2,more,small,med,med,1.0
286,vhigh,low,2,more,med,high,high,1.0
287,med,high,3,4,med,low,low,1.0
288,med,low,5more,2,big,high,high,1.0
289,vhigh,low,2,2,small,low,low,1.0
290,vhigh,vhigh,4,4,med,high,high,1.0
291,low,high,3,more,small,med,med,1.0
292,vhigh,vhigh,2,more,small,low,low,1.0
293,high,vhigh,4,more,med,high,high,1.0
294,vhigh,vhigh,5more,4,big,med,med,1.0
295,vhigh,low,3,more,small,high,high,1.0
296,high,med,2,more,big,low,low,1.0
297,vhigh,med,2,more,med,high,high,1.0
298,high,low,3,more,big,low,low,1.0
299,low,med,4,4,small,low,low,1.0
300,vhigh,low,3,4,med,med,med,1.0
301,high,high,5more,2,big,med,med,1.0
302,med,vhigh,2,2,big,med,med,1.0
303,low,high,4,2,med,high,high,1.0
304,high,low,5more,2,small,low,low,1.0
305,low,low,2,more,big,med,med,1.0
306,low,low,5more,2,big,high,high,1.0
307,low,high,2,4,big,med,med,1.0
308,low,med,2,more,big,med,med,1.0
309,vhigh,vhigh,5more,more,small,low,low,1.0
310,high,med,5more,4,big,high,high,1.0
311,low,high,2,more,med,low,low,1.0
312,high,low,4,more,med,low,low,1.0
313,med,high,5more,more,small,high,high,1.0
314,vhigh,low,2,4,med,high,high,1.0
315,high,med,4,2,big,high,high,1.0
316,low,vhigh,3,2,big,low,low,1.0
317,med,med,5more,more,small,med,med,1.0
318,low,vhigh,4,more,small,low,low,1.0
319,vhigh,high,4,more,med,low,low,1.0
320,low,med,4,2,small,low,low,1.0
321,high,med,3,4,med,low,low,1.0
322,vhigh,low,4,more,big,high,high,1.0
323,vhigh,high,4,4,big,low,low,1.0
324,vhigh,vhigh,3,4,big,high,high,1.0
325,med,high,5more,2,med,low,low,1.0
326,low,vhigh,3,2,med,med,med,1.0
327,low,med,4,2,big,med,med,1.0
328,low,high,2,2,med,low,low,1.0
329,vhigh,low,4,4,small,low,low,1.0
330,high,high,4,4,big,low,low,1.0
331,low,high,5more,4,small,low,low,1.0
332,high,vhigh,4,more,small,low,low,1.0
333,high,med,2,more,big,high,high,1.0
334,vhigh,med,3,more,small,low,low,1.0
335,med,low,4,more,small,high,high,1.0
336,vhigh,high,4,more,small,low,low,1.0
337,low,med,2,more,small,low,low,1.0
338,high,med,5more,more,med,low,low,1.0
339,med,low,3,more,med,med,med,1.0
340,vhigh,med,3,2,small,low,low,1.0
341,low,vhigh,3,more,small,med,med,1.0
342,high,vhigh,2,4,small,med,med,1.0
343,med,vhigh,4,4,small,high,high,1.0
344,vhigh,vhigh,2,2,big,low,low,1.0
345,high,med,5more,4,big,med,med,1.0
346,vhigh,high,4,more,big,med,med,1.0
347,med,vhigh,4,more,med,high,high,1.0
348,low,low,5more,4,small,low,low,1.0
349,vhigh,med,3,more,big,med,med,1.0
350,high,low,2,4,small,med,med,1.0
351,high,low,3,more,big,high,high,1.0
352,high,vhigh,3,2,med,high,high,1.0
353,med,med,3,4,small,med,med,1.0
354,low,med,5more,2,big,low,low,1.0
355,vhigh,high,4,4,small,high,high,1.0
356,high,low,2,2,small,low,low,1.0
357,med,high,5more,more,big,med,med,1.0
358,med,med,2,2,med,med,med,1.0
359,low,med,3,more,big,high,high,1.0
360,vhigh,vhigh,4,more,med,med,med,1.0
361,high,high,3,4,small,med,med,1.0
362,low,high,2,2,small,med,med,1.0
363,vhigh,high,5more,2,big,med,med,1.0
364,med,med,4,4,small,low,low,1.0
365,high,high,2,more,small,low,low,1.0
366,low,high,2,4,med,med,med,1.0
367,med,high,2,4,big,low,low,1.0
368,med,med,5more,2,big,low,low,1.0
369,med,vhigh,5more,4,med,low,low,1.0
370,med,high,2,4,big,high,high,1.0
371,high,high,3,more,big,high,high,1.0
372,med,high,4,more,small,low,low,1.0
373,vhigh,high,2,4,big,med,med,1.0
374,vhigh,high,4,more,small,high,high,1.0
375,high,high,2,2,big,low,low,1.0
376,low,med,4,more,small,low,low,1.0
377,low,vhigh,5more,4,big,low,low,1.0
378,low,low,4,2,med,high,high,1.0
379,vhigh,low,5more,more,small,low,low,1.0
380,med,vhigh,4,more,small,low,low,1.0
381,low,vhigh,5more,more,big,low,low,1.0
382,high,med,3,more,small,high,high,1.0
383,vhigh,vhigh,5more,4,small,med,med,1.0
384,med,low,3,4,med,med,med,1.0
385,med,vhigh,5more,4,big,low,low,1.0
386,med,high,3,more,big,med,med,1.0
387,med,med,2,2,med,low,low,1.0
388,vhigh,high,2,2,med,low,low,1.0
389,low,low,3,4,med,med,med,1.0
390,high,vhigh,4,4,small,low,low,1.0
391,high,med,3,4,med,med,med,1.0
392,med,med,4,2,med,low,low,1.0
393,med,med,3,2,small,high,high,1.0
394,vhigh,med,5more,2,small,low,low,1.0
395,vhigh,vhigh,3,2,small,high,high,1.0
396,low,low,5more,more,small,low,low,1.0
397,med,low,2,2,small,high,high,1.0
398,high,high,2,4,big,med,med,1.0
399,med,low,3,2,small,med,med,1.0
400,vhigh,vhigh,3,4,med,low,low,1.0
401,vhigh,vhigh,3,more,big,med,med,1.0
402,high,vhigh,4,2,small,high,high,1.0
403,med,med,2,2,small,high,high,1.0
404,vhigh,low,5more,2,med,high,high,1.0
405,vhigh,vhigh,4,more,med,high,high,1.0
406,vhigh,high,2,4,small,low,low,1.0
407,low,low,5more,2,med,med,med,1.0
408,low,low,4,2,big,high,high,1.0
409,low,med,5more,4,med,med,med,1.0
410,med,vhigh,4,4,med,med,med,1.0
411,high,low,3,2,big,med,med,1.0
412,vhigh,high,2,4,small,med,med,1.0
413,vhigh,vhigh,4,4,small,med,med,1.0
414,vhigh,vhigh,2,more,small,high,high,1.0
415,vhigh,vhigh,3,2,med,high,high,1.0
416,med,low,4,more,med,med,med,1.0
417,vhigh,med,4,4,small,high,high,1.0
418,low,high,3,more,big,low,low,1.0
419,low,low,2,2,med,high,high,1.0
420,med,vhigh,5more,more,big,high,high,1.0
421,high,high,5more,more,small,med,med,1.0
422,med,med,3,2,big,low,low,1.0
423,high,med,3,2,small,high,high,1.0
424,med,low,2,more,small,high,high,1.0
425,low,med,5more,2,med,med,med,1.0
426,vhigh,vhigh,4,more,big,low,low,1.0
427,med,med,4,2,small,high,high,1.0
428,vhigh,med,5more,2,med,low,low,1.0
429,low,vhigh,5more,more,small,low,low,1.0
430,med,low,2,2,med,high,high,1.0
431,low,low,4,more,med,high,high,1.0
432,high,low,5more,2,big,high,high,1.0
433,vhigh,low,5more,4,med,low,low,1.0
434,low,high,2,4,small,med,med,1.0
435,low,high,2,more,big,med,med,1.0
436,high,high,2,2,small,low,low,1.0
437,high,low,3,more,med,high,high,1.0
438,low,low,2,4,med,high,high,1.0
439,high,high,2,more,med,med,med,1.0
440,high,med,3,4,small,med,med,1.0
441,med,vhigh,5more,4,small,med,med,1.0
442,med,med,4,4,med,high,high,1.0
443,med,low,2,more,big,high,high,1.0
444,vhigh,vhigh,4,more,big,med,med,1.0
445,low,med,4,4,med,med,med,1.0
446,med,low,2,2,small,low,low,1.0
447,med,high,5more,2,big,med,med,1.0
448,med,med,2,2,med,high,high,1.0
449,vhigh,low,5more,more,big,med,med,1.0
450,med,low,5more,2,big,med,med,1.0
451,med,low,4,more,small,low,low,1.0
452,vhigh,med,3,4,big,low,low,1.0
453,vhigh,high,2,more,small,med,med,1.0
454,high,med,3,more,med,med,med,1.0
455,low,vhigh,2,2,big,low,low,1.0
456,low,high,3,2,small,low,low,1.0
457,low,low,4,2,big,low,low,1.0
458,med,high,4,2,med,high,high,1.0
459,high,high,4,4,med,low,low,1.0
460,med,med,2,4,med,high,high,1.0
461,med,low,3,4,small,low,low,1.0
462,high,low,5more,2,big,med,med,1.0
463,med,high,2,4,med,med,med,1.0
464,med,med,5more,4,med,med,med,1.0
465,low,vhigh,3,2,big,med,med,1.0
466,vhigh,vhigh,3,more,med,high,high,1.0
467,low,high,4,2,big,low,low,1.0
468,low,low,2,more,med,low,low,1.0
469,low,med,3,2,med,low,low,1.0
470,med,high,3,more,small,high,high,1.0
471,med,med,5more,more,small,high,high,1.0
472,high,med,4,4,med,med,med,1.0
473,low,high,4,2,big,med,med,1.0
474,med,vhigh,4,more,big,med,med,1.0
475,med,vhigh,5more,4,med,high,high,1.0
476,high,vhigh,2,2,big,low,low,1.0
477,med,low,3,2,med,low,low,1.0
478,med,vhigh,3,2,small,high,high,1.0
479,high,vhigh,2,2,big,med,med,1.0
480,low,high,5more,2,small,high,high,1.0
481,low,med,2,4,big,low,low,1.0
482,vhigh,vhigh,3,2,med,med,med,1.0
483,vhigh,high,5more,2,big,low,low,1.0
484,high,low,5more,2,med,low,low,1.0
485,vhigh,vhigh,2,2,med,med,med,1.0
486,vhigh,high,3,more,med,low,low,1.0
487,low,low,3,more,med,med,med,1.0
488,high,high,4,4,med,high,high,1.0
489,high,med,3,more,big,high,high,1.0
490,low,low,2,2,big,med,med,1.0
491,med,med,2,4,med,low,low,1.0
492,high,vhigh,3,4,big,low,low,1.0
493,high,vhigh,5more,2,med,high,high,1.0
494,low,low,2,2,med,low,low,1.0
495,high,low,4,4,big,high,high,1.0
496,low,low,2,more,small,low,low,1.0
497,high,med,5more,2,big,med,med,1.0
498,med,med,2,more,big,med,med,1.0
499,high,high,5more,more,med,low,low,1.0
500,med,vhigh,4,4,big,low,low,1.0
501,med,high,5more,4,med,low,low,1.0
502,med,vhigh,3,2,big,med,med,1.0
503,med,low,5more,4,big,low,low,1.0
504,high,vhigh,2,more,med,med,med,1.0
505,high,high,3,more,small,med,med,1.0
506,high,med,3,2,big,high,high,1.0
507,med,med,2,2,small,med,med,1.0
508,high,vhigh,3,more,small,low,low,1.0
509,med,high,5more,2,small,low,low,1.0
510,high,med,3,4,med,high,high,1.0
511,med,vhigh,2,2,small,med,med,1.0
512,low,med,4,2,big,high,high,1.0
513,vhigh,med,5more,more,med,low,low,1.0
514,high,med,3,2,big,low,low,1.0
515,high,high,4,more,big,low,low,1.0
516,vhigh,high,4,2,small,low,low,1.0
517,low,vhigh,2,2,small,high,high,1.0
518,low,med,3,4,small,med,med,1.0
519,vhigh,med,2,2,big,high,high,1.0
520,vhigh,high,2,2,big,low,low,1.0
521,vhigh,low,2,2,med,med,med,1.0
522,vhigh,low,5more,2,med,med,med,1.0
523,low,med,3,more,med,high,high,1.0
524,vhigh,low,5more,4,big,high,high,1.0
525,high,low,3,2,med,high,high,1.0
526,high,med,4,2,big,low,low,1.0
527,vhigh,low,3,2,med,med,med,1.0
528,med,med,5more,more,big,high,high,1.0
529,vhigh,vhigh,2,4,med,med,med,1.0
530,vhigh,vhigh,2,more,med,low,low,1.0
531,high,low,4,2,small,low,low,1.0
532,low,med,5more,2,med,low,low,1.0
533,med,high,3,4,big,med,med,1.0
534,med,low,2,2,med,med,med,1.0
535,med,vhigh,3,4,med,low,low,1.0
536,low,high,4,more,med,low,low,1.0
537,high,low,4,2,small,high,high,1.0
538,vhigh,high,5more,4,med,high,high,1.0
539,vhigh,high,2,more,big,low,low,1.0
540,high,med,2,4,med,med,med,1.0
541,low,low,4,more,small,low,low,1.0
542,vhigh,high,5more,more,big,high,high,1.0
543,low,low,4,4,med,low,low,1.0
544,high,med,2,2,med,med,med,1.0
545,vhigh,med,4,4,big,low,low,1.0
546,med,vhigh,3,more,med,high,high,1.0
547,vhigh,low,4,2,big,med,med,1.0
548,high,vhigh,2,2,big,high,high,1.0
549,med,high,5more,more,small,med,med,1.0
550,low,vhigh,2,more,small,low,low,1.0
551,vhigh,med,3,4,big,med,med,1.0
552,low,low,2,4,med,med,med,1.0
553,vhigh,med,3,more,small,med,med,1.0
554,med,low,4,4,big,low,low,1.0
555,vhigh,vhigh,4,more,small,high,high,1.0
556,low,vhigh,5more,4,med,med,med,1.0
557,vhigh,high,3,2,med,high,high,1.0
558,high,vhigh,3,2,med,low,low,1.0
559,high,high,3,4,big,med,med,1.0
560,med,low,3,4,big,med,med,1.0
561,med,high,5more,2,med,med,med,1.0
562,high,high,2,more,big,low,low,1.0
563,med,high,3,2,med,high,high,1.0
564,med,low,4,2,med,low,low,1.0
565,vhigh,med,2,more,small,med,med,1.0
566,high,high,2,4,small,high,high,1.0
567,vhigh,low,2,4,big,high,high,1.0
568,vhigh,low,5more,more,small,med,med,1.0
569,vhigh,vhigh,3,more,small,med,med,1.0
570,vhigh,high,4,4,med,med,med,1.0
571,med,med,3,more,small,low,low,1.0
572,low,high,2,more,med,med,med,1.0
573,vhigh,high,2,more,med,med,med,1.0
574,low,high,2,2,small,high,high,1.0
575,high,vhigh,5more,4,med,high,high,1.0
576,vhigh,med,3,2,med,high,high,1.0
577,low,high,4,2,small,low,low,1.0
578,high,high,4,more,small,low,low,1.0
579,med,high,2,more,med,med,med,1.0
580,med,vhigh,5more,more,med,high,high,1.0
581,high,vhigh,4,more,small,high,high,1.0
582,vhigh,vhigh,4,4,big,med,med,1.0
583,high,high,4,4,small,high,high,1.0
584,med,vhigh,5more,2,big,high,high,1.0
585,low,med,2,4,big,high,high,1.0
586,vhigh,low,4,2,small,med,med,1.0
587,low,low,3,more,med,high,high,1.0
588,med,med,4,4,small,med,med,1.0
589,low,high,2,more,med,high,high,1.0
590,med,low,4,more,big,low,low,1.0
591,low,low,2,4,small,low,low,1.0
592,low,high,5more,more,small,low,low,1.0
593,vhigh,med,2,4,small,high,high,1.0
594,low,low,2,2,small,high,high,1.0
595,med,low,2,4,small,med,med,1.0
596,low,high,4,4,big,low,low,1.0
597,high,low,4,4,big,low,low,1.0
598,vhigh,med,5more,2,med,high,high,1.0
599,high,vhigh,3,2,big,low,low,1.0
600,vhigh,med,3,more,big,low,low,1.0
601,med,med,4,more,small,high,high,1.0
602,high,high,3,2,big,high,high,1.0
603,low,vhigh,5more,2,small,low,low,1.0
604,med,med,4,4,big,low,low,1.0
605,med,vhigh,4,more,big,low,low,1.0
606,vhigh,low,5more,2,big,med,med,1.0
607,med,high,4,2,small,low,low,1.0
608,med,low,5more,2,small,med,med,1.0
609,low,low,4,4,big,high,high,1.0
610,med,vhigh,3,2,med,low,low,1.0
611,vhigh,high,5more,more,med,low,low,1.0
612,high,vhigh,2,4,small,high,high,1.0
613,high,med,4,4,small,low,low,1.0
614,high,med,3,more,small,low,low,1.0
615,high,vhigh,2,4,big,high,high,1.0
616,med,vhigh,3,more,big,high,high,1.0
617,med,low,2,4,big,high,high,1.0
618,high,med,4,4,big,low,low,1.0
619,vhigh,vhigh,2,more,med,med,med,1.0
620,low,low,5more,2,small,high,high,1.0
621,high,vhigh,3,4,small,high,high,1.0
622,low,high,2,4,med,low,low,1.0
623,low,high,5more,more,med,med,med,1.0
624,low,vhigh,3,more,small,high,high,1.0
625,high,med,3,4,big,high,high,1.0
626,med,high,5more,4,big,med,med,1.0
627,vhigh,vhigh,4,more,big,high,high,1.0
628,vhigh,med,4,more,med,high,high,1.0
629,vhigh,vhigh,5more,2,med,high,high,1.0
630,high,med,4,2,med,high,high,1.0
631,low,high,3,4,big,high,high,1.0
632,vhigh,high,5more,2,med,high,high,1.0
633,high,low,2,more,med,low,low,1.0
634,vhigh,high,3,4,big,med,med,1.0
635,high,vhigh,2,4,big,med,med,1.0
636,low,med,2,2,big,low,low,1.0
637,med,vhigh,3,2,small,low,low,1.0
638,high,low,5more,4,med,med,med,1.0
639,low,high,2,4,big,low,low,1.0
640,med,low,4,2,small,low,low,1.0
641,med,vhigh,2,more,small,high,high,1.0
