,buying,maint,doors,persons,lug_boot,safety,verdict,condprob
75,unacc,vhigh,vhigh,5more,2,big,low,1.0
76,unacc,high,low,4,2,small,high,1.0
77,unacc,high,low,2,4,small,low,1.0
78,unacc,low,low,2,more,big,low,1.0
79,unacc,high,low,3,4,big,low,1.0
80,unacc,low,med,5more,4,small,low,1.0
81,unacc,high,high,3,2,small,high,1.0
82,unacc,high,vhigh,5more,more,med,low,1.0
83,unacc,med,vhigh,3,4,small,low,1.0
84,unacc,vhigh,high,3,2,small,low,1.0
85,acc,med,med,2,4,small,high,1.0
86,unacc,med,high,3,more,big,low,1.0
87,unacc,high,low,5more,2,small,high,1.0
88,unacc,high,vhigh,5more,4,small,high,1.0
89,unacc,vhigh,low,3,2,med,high,1.0
90,unacc,vhigh,vhigh,3,2,med,low,0.25
91,unacc,high,high,2,4,med,low,1.0
92,unacc,low,low,4,more,big,low,1.0
93,acc,vhigh,med,3,more,med,high,1.0
94,unacc,vhigh,vhigh,4,4,small,med,1.0
95,unacc,vhigh,vhigh,4,more,big,med,1.0
96,unacc,med,low,4,2,med,high,1.0
97,unacc,med,low,3,2,small,low,1.0
98,unacc,high,vhigh,3,more,small,high,1.0
99,unacc,low,low,4,2,big,med,1.0
100,unacc,high,vhigh,5more,more,med,med,1.0
101,unacc,vhigh,low,2,4,med,med,1.0
102,unacc,high,vhigh,5more,4,big,low,1.0
103,unacc,vhigh,vhigh,3,2,big,low,0.25
104,unacc,vhigh,med,2,4,small,med,1.0
105,acc,high,med,2,4,big,high,1.0
106,acc,vhigh,vhigh,2,more,small,high,0.25
107,acc,vhigh,med,4,4,big,high,1.0
108,unacc,low,low,2,4,small,low,1.0
109,unacc,vhigh,high,3,2,big,high,1.0
110,unacc,vhigh,high,5more,more,small,high,1.0
111,unacc,high,high,2,more,big,low,1.0
112,vgood,low,med,3,more,big,high,1.0
113,unacc,low,vhigh,4,more,small,med,1.0
114,unacc,med,high,5more,4,small,low,1.0
115,acc,vhigh,low,4,more,med,med,1.0
116,unacc,med,high,3,more,med,low,1.0
117,acc,vhigh,low,4,more,big,high,1.0
118,acc,vhigh,med,5more,more,big,high,1.0
119,unacc,vhigh,med,3,2,med,high,1.0
120,unacc,vhigh,vhigh,3,2,med,high,0.25
121,unacc,high,vhigh,4,2,big,high,1.0
122,unacc,vhigh,high,4,2,med,low,1.0
123,unacc,high,high,5more,2,big,low,1.0
124,unacc,med,vhigh,3,2,big,low,1.0
125,good,low,med,3,more,small,high,1.0
126,acc,high,low,4,4,big,high,1.0
127,acc,vhigh,low,2,more,big,med,1.0
128,unacc,high,med,5more,2,big,low,1.0
129,unacc,high,high,4,more,med,low,1.0
130,unacc,low,high,4,2,small,med,1.0
131,acc,high,med,5more,more,big,high,1.0
132,good,low,med,2,4,small,high,1.0
133,unacc,high,low,2,2,med,low,1.0
134,unacc,high,med,3,4,med,low,1.0
135,unacc,high,vhigh,4,4,med,low,1.0
136,acc,med,med,4,4,small,med,1.0
137,acc,low,med,2,more,med,med,1.0
138,unacc,vhigh,med,5more,2,big,med,1.0
139,unacc,high,high,2,2,small,low,1.0
140,unacc,med,vhigh,4,4,big,low,1.0
141,unacc,high,vhigh,5more,2,big,low,1.0
142,unacc,high,low,3,more,small,med,1.0
143,unacc,low,vhigh,2,more,big,low,1.0
144,unacc,high,high,2,4,big,med,0.5
145,acc,low,med,4,more,small,med,1.0
146,unacc,high,high,5more,2,med,low,1.0
147,unacc,vhigh,low,2,4,med,low,1.0
148,acc,low,low,3,4,small,med,1.0
149,acc,med,med,5more,4,big,med,1.0
150,acc,vhigh,low,3,more,big,med,1.0
151,good,low,med,5more,4,med,med,1.0
152,unacc,vhigh,vhigh,2,more,big,med,0.25
153,acc,high,med,3,more,small,high,1.0
154,unacc,high,vhigh,3,more,med,high,1.0
155,unacc,high,low,4,2,med,low,1.0
156,unacc,med,vhigh,4,2,small,low,1.0
157,unacc,vhigh,low,2,2,big,high,1.0
158,acc,high,high,3,more,med,med,0.5
159,unacc,vhigh,low,5more,4,small,med,1.0
160,unacc,med,low,2,more,small,high,1.0
161,acc,vhigh,vhigh,2,more,small,med,0.25
162,good,med,low,5more,4,big,med,1.0
163,unacc,med,med,3,2,small,med,1.0
164,unacc,vhigh,vhigh,3,4,med,high,1.0
165,unacc,vhigh,low,4,2,med,high,1.0
166,acc,high,high,4,4,med,high,0.5
167,unacc,vhigh,low,5more,more,small,low,1.0
168,unacc,high,med,3,2,big,low,1.0
169,acc,low,high,3,more,small,med,1.0
170,unacc,vhigh,high,4,more,small,high,1.0
171,unacc,vhigh,high,2,4,med,high,1.0
172,acc,high,low,4,4,small,high,1.0
173,unacc,low,vhigh,2,4,small,low,1.0
174,unacc,med,high,2,2,med,med,1.0
175,acc,low,low,2,4,med,med,1.0
176,unacc,med,med,4,4,big,low,1.0
177,unacc,high,vhigh,2,2,med,med,1.0
178,unacc,vhigh,vhigh,2,more,med,low,0.25
179,good,low,low,3,4,med,high,1.0
180,acc,med,vhigh,4,4,med,high,1.0
181,unacc,low,low,3,4,big,low,1.0
182,unacc,med,low,5more,4,med,low,1.0
183,unacc,vhigh,med,3,4,med,low,1.0
184,unacc,med,vhigh,3,4,small,med,1.0
185,unacc,med,med,2,2,big,med,1.0
186,unacc,med,vhigh,5more,more,small,low,1.0
187,acc,high,high,4,more,med,med,0.5
188,unacc,vhigh,low,5more,4,big,low,1.0
189,unacc,vhigh,low,5more,2,big,med,1.0
190,unacc,high,high,2,more,med,low,1.0
191,unacc,vhigh,high,2,more,med,low,1.0
192,acc,vhigh,low,3,more,med,med,1.0
193,unacc,vhigh,vhigh,5more,4,small,high,1.0
194,good,low,low,4,more,big,med,1.0
195,unacc,high,high,5more,2,small,high,1.0
196,acc,med,high,4,4,big,med,1.0
197,acc,med,vhigh,3,more,big,high,1.0
198,unacc,high,high,5more,4,big,low,1.0
199,unacc,high,med,4,2,big,med,1.0
200,unacc,low,high,3,more,big,low,1.0
201,unacc,med,low,2,2,big,low,1.0
202,acc,med,high,2,4,big,high,1.0
203,unacc,med,low,3,4,small,low,1.0
204,unacc,high,vhigh,5more,2,med,med,1.0
205,unacc,med,vhigh,4,2,med,low,1.0
206,unacc,med,low,4,2,big,high,1.0
207,acc,high,low,2,4,med,high,1.0
208,unacc,low,med,3,4,big,low,1.0
209,unacc,high,med,3,more,med,low,1.0
210,acc,high,med,5more,4,big,med,1.0
211,unacc,vhigh,high,5more,2,med,low,1.0
212,unacc,high,low,5more,2,big,med,1.0
213,vgood,med,low,3,4,big,high,1.0
214,unacc,vhigh,vhigh,4,4,small,low,1.0
215,unacc,low,med,3,4,med,low,1.0
216,unacc,high,vhigh,2,2,big,med,1.0
217,unacc,med,high,5more,more,big,low,1.0
218,acc,high,low,5more,4,big,high,1.0
219,acc,high,high,5more,4,big,high,0.5
220,unacc,vhigh,vhigh,3,more,med,med,1.0
221,vgood,med,med,5more,4,big,high,1.0
222,acc,high,med,5more,more,small,high,1.0
223,acc,high,high,5more,more,big,high,0.5
224,acc,med,high,4,4,big,high,1.0
225,unacc,vhigh,high,3,4,big,high,1.0
226,acc,low,vhigh,4,more,med,med,1.0
227,unacc,low,med,4,more,med,low,1.0
228,unacc,high,vhigh,2,4,big,high,1.0
229,unacc,low,high,5more,more,med,low,1.0
230,unacc,high,vhigh,5more,4,small,low,1.0
231,unacc,low,high,3,4,small,low,1.0
232,unacc,high,high,3,2,small,med,1.0
233,unacc,low,vhigh,5more,4,big,low,1.0
234,unacc,vhigh,vhigh,3,2,med,med,0.25
235,unacc,vhigh,med,4,more,big,low,1.0
236,vgood,med,med,3,more,big,high,1.0
237,unacc,vhigh,high,3,2,big,med,1.0
238,unacc,vhigh,high,4,2,med,med,1.0
239,unacc,vhigh,med,2,4,med,low,1.0
240,unacc,low,med,4,2,small,med,1.0
241,acc,low,high,5more,more,med,med,1.0
242,good,med,low,4,more,big,med,1.0
243,unacc,low,med,5more,4,med,low,1.0
244,acc,vhigh,med,4,more,med,med,1.0
245,unacc,high,high,5more,2,small,low,1.0
246,acc,high,low,5more,more,small,high,1.0
247,unacc,high,med,4,2,med,high,1.0
248,unacc,vhigh,med,4,2,big,high,1.0
249,vgood,low,low,3,more,big,high,1.0
250,unacc,med,low,4,4,small,low,1.0
251,acc,high,med,3,more,big,med,1.0
252,acc,vhigh,vhigh,3,2,big,low,0.25
253,unacc,high,low,5more,more,small,med,1.0
254,acc,high,low,5more,more,med,high,1.0
255,acc,vhigh,med,4,more,small,high,1.0
256,unacc,med,low,2,4,med,low,1.0
257,unacc,high,low,3,4,med,low,1.0
258,unacc,low,med,2,2,med,low,1.0
259,unacc,low,vhigh,5more,2,med,low,1.0
260,unacc,med,high,2,2,small,low,1.0
261,good,med,low,2,4,med,high,1.0
262,unacc,low,med,5more,2,big,high,1.0
263,unacc,low,low,2,more,small,high,1.0
264,unacc,high,high,5more,4,big,high,0.5
265,unacc,low,vhigh,2,more,med,med,1.0
266,acc,low,vhigh,4,4,big,med,1.0
267,unacc,med,high,2,2,small,high,1.0
268,unacc,med,high,5more,more,small,med,1.0
269,unacc,vhigh,vhigh,2,4,med,low,0.25
270,good,med,low,5more,4,med,med,1.0
271,acc,low,high,3,more,med,med,1.0
272,unacc,high,med,2,more,med,low,1.0
273,unacc,med,med,5more,2,big,low,1.0
274,unacc,low,high,2,2,small,low,1.0
275,unacc,med,vhigh,5more,2,small,low,1.0
276,acc,med,vhigh,4,4,big,med,1.0
277,unacc,vhigh,high,3,2,small,high,1.0
278,acc,med,high,4,more,med,med,1.0
279,unacc,vhigh,vhigh,2,2,big,high,0.25
280,acc,med,vhigh,2,4,small,high,1.0
281,unacc,vhigh,med,5more,more,small,low,1.0
282,unacc,med,med,4,2,small,low,1.0
283,unacc,vhigh,high,5more,4,small,low,1.0
284,unacc,low,vhigh,3,4,med,low,1.0
285,unacc,med,high,5more,2,small,med,1.0
286,acc,low,high,4,more,big,med,1.0
287,unacc,vhigh,low,2,4,big,low,1.0
288,unacc,low,low,5more,2,small,high,1.0
289,unacc,med,low,3,2,small,med,1.0
290,acc,med,vhigh,5more,4,med,med,1.0
291,unacc,low,med,5more,2,med,med,1.0
292,good,low,low,5more,more,small,high,1.0
293,unacc,low,low,4,more,med,low,1.0
294,unacc,vhigh,low,3,more,big,low,1.0
295,unacc,vhigh,med,3,2,small,high,1.0
296,unacc,low,med,4,2,small,low,1.0
297,unacc,vhigh,high,3,more,big,med,1.0
298,unacc,vhigh,med,2,more,small,low,1.0
299,vgood,med,med,5more,4,med,high,1.0
300,unacc,vhigh,vhigh,5more,more,small,high,1.0
301,unacc,vhigh,med,4,4,big,low,1.0
302,acc,vhigh,low,4,4,med,med,1.0
303,unacc,vhigh,low,5more,2,small,med,1.0
304,unacc,med,med,2,2,small,low,1.0
305,acc,med,med,2,more,med,med,1.0
306,unacc,vhigh,med,5more,2,big,low,1.0
307,unacc,low,low,4,4,big,low,1.0
308,unacc,low,high,4,2,big,med,1.0
309,acc,low,high,2,more,med,med,1.0
310,unacc,med,high,2,more,big,low,1.0
311,unacc,med,med,3,2,big,med,1.0
312,unacc,vhigh,med,4,2,small,low,1.0
313,unacc,high,med,2,2,med,low,1.0
314,unacc,vhigh,med,3,more,med,low,1.0
315,unacc,high,low,3,2,big,low,1.0
316,acc,high,med,4,4,big,high,1.0
317,unacc,high,high,4,2,small,low,1.0
318,unacc,vhigh,high,4,4,big,low,1.0
319,acc,vhigh,low,5more,more,med,high,1.0
320,unacc,high,high,3,2,big,high,1.0
321,unacc,low,vhigh,5more,2,big,high,1.0
322,unacc,med,med,2,more,small,high,1.0
323,unacc,vhigh,high,4,2,med,high,1.0
324,unacc,vhigh,vhigh,2,4,small,high,0.25
325,unacc,med,vhigh,2,2,med,low,1.0
326,unacc,med,vhigh,3,2,big,med,1.0
327,unacc,med,vhigh,2,more,small,high,1.0
328,unacc,vhigh,low,4,4,small,med,1.0
329,unacc,low,high,2,2,small,high,1.0
330,unacc,low,med,5more,more,big,low,1.0
331,unacc,high,high,3,4,small,high,0.5
332,unacc,low,high,5more,2,big,high,1.0
333,unacc,high,low,5more,2,med,low,1.0
334,unacc,med,med,3,4,big,low,1.0
335,acc,high,med,4,4,med,high,1.0
336,unacc,vhigh,high,3,more,small,high,1.0
337,acc,vhigh,vhigh,2,more,big,med,0.25
338,unacc,vhigh,vhigh,5more,4,med,med,1.0
339,acc,vhigh,low,5more,4,big,high,1.0
340,unacc,vhigh,med,4,2,med,low,1.0
341,unacc,med,high,4,4,big,low,1.0
342,acc,med,vhigh,4,more,big,med,1.0
343,unacc,low,high,3,2,med,med,1.0
344,unacc,vhigh,high,4,2,big,high,1.0
345,unacc,high,low,2,2,small,high,1.0
346,good,med,low,5more,4,small,high,1.0
347,good,low,med,5more,4,small,high,1.0
348,unacc,vhigh,high,5more,4,big,high,1.0
349,unacc,vhigh,vhigh,4,2,big,low,1.0
350,unacc,med,vhigh,4,2,big,low,1.0
351,acc,med,high,5more,more,med,med,1.0
352,acc,vhigh,low,4,4,big,high,1.0
353,unacc,vhigh,vhigh,3,2,big,high,1.0
354,unacc,med,high,5more,2,big,high,1.0
355,unacc,high,high,3,more,med,med,0.5
356,good,low,low,3,4,small,high,1.0
357,unacc,high,high,5more,more,big,low,1.0
358,unacc,high,low,5more,4,small,med,1.0
359,acc,low,vhigh,5more,more,small,high,1.0
360,unacc,high,med,5more,4,med,low,1.0
361,unacc,high,med,5more,2,med,med,1.0
362,acc,vhigh,low,4,more,small,high,1.0
363,unacc,high,high,2,more,small,med,1.0
364,unacc,high,vhigh,4,more,med,high,1.0
365,unacc,high,high,4,2,med,high,1.0
366,unacc,med,med,5more,2,big,high,1.0
367,acc,low,high,3,4,small,med,1.0
368,unacc,high,high,2,more,big,high,0.5
369,unacc,high,low,5more,more,med,low,1.0
370,unacc,high,vhigh,5more,more,big,low,1.0
371,unacc,med,vhigh,5more,2,med,med,1.0
372,unacc,low,vhigh,3,4,small,med,1.0
373,unacc,med,med,2,4,med,low,1.0
374,unacc,med,med,4,more,med,low,1.0
375,acc,med,low,4,4,small,med,1.0
376,unacc,vhigh,vhigh,4,4,med,low,1.0
377,unacc,vhigh,med,4,more,small,low,1.0
378,acc,high,low,3,more,big,med,1.0
379,acc,high,low,5more,4,big,med,1.0
380,unacc,vhigh,vhigh,2,more,small,high,0.25
381,unacc,vhigh,low,4,4,small,low,1.0
382,unacc,vhigh,med,5more,4,big,low,1.0
383,unacc,vhigh,vhigh,5more,2,big,high,1.0
384,unacc,low,med,5more,2,med,high,1.0
385,unacc,med,med,2,4,big,low,1.0
386,acc,high,med,4,more,med,med,1.0
387,unacc,vhigh,med,3,2,big,med,1.0
388,unacc,vhigh,vhigh,4,4,small,high,1.0
389,unacc,high,med,3,2,med,high,1.0
390,unacc,med,med,3,2,med,med,1.0
391,unacc,low,med,2,more,small,low,1.0
392,unacc,vhigh,vhigh,3,2,small,med,0.25
393,acc,med,high,4,4,small,high,1.0
394,unacc,low,low,2,2,big,high,1.0
395,unacc,med,high,3,2,small,high,1.0
396,unacc,vhigh,high,2,2,small,low,1.0
397,acc,low,med,5more,4,small,med,1.0
398,good,low,low,4,more,med,med,1.0
399,acc,low,vhigh,2,4,med,high,1.0
400,unacc,high,med,4,4,big,low,1.0
401,vgood,low,low,2,more,big,high,1.0
402,acc,med,low,2,more,med,med,1.0
403,unacc,med,low,5more,2,med,high,1.0
404,unacc,vhigh,vhigh,5more,4,small,low,1.0
405,unacc,med,med,3,4,med,low,1.0
406,acc,low,high,2,more,big,med,1.0
407,unacc,low,med,2,4,med,low,1.0
408,unacc,high,low,2,4,small,med,1.0
409,unacc,low,high,4,2,med,low,1.0
410,good,low,med,2,more,med,high,1.0
411,unacc,low,vhigh,2,2,med,low,1.0
412,unacc,vhigh,vhigh,4,4,big,med,1.0
413,acc,vhigh,vhigh,2,2,big,low,0.25
414,acc,low,high,3,more,small,high,1.0
415,acc,med,med,2,more,big,med,1.0
416,unacc,med,med,4,2,big,low,1.0
417,unacc,med,high,5more,2,small,low,1.0
418,unacc,high,low,5more,2,med,med,1.0
419,unacc,vhigh,vhigh,4,4,big,low,1.0
420,unacc,low,med,5more,2,big,low,1.0
421,unacc,vhigh,vhigh,5more,2,med,low,1.0
422,unacc,high,high,4,2,big,med,1.0
423,acc,high,med,4,more,big,med,1.0
424,unacc,med,low,4,2,small,low,1.0
425,unacc,low,low,2,2,big,med,1.0
426,good,low,med,4,4,big,med,1.0
427,unacc,low,low,5more,2,small,med,1.0
428,unacc,low,high,2,4,small,low,1.0
429,unacc,low,med,5more,2,med,low,1.0
430,acc,high,high,4,4,small,high,0.5
431,unacc,vhigh,med,4,2,small,med,1.0
432,unacc,low,high,2,2,small,med,1.0
433,unacc,high,med,2,4,small,med,1.0
434,unacc,low,vhigh,4,2,big,low,1.0
435,unacc,low,low,5more,2,big,med,1.0
436,vgood,med,med,3,4,big,high,1.0
437,unacc,low,high,3,2,big,high,1.0
438,unacc,high,vhigh,5more,more,small,med,1.0
439,acc,high,low,3,4,med,high,1.0
440,vgood,low,low,5more,4,med,high,1.0
441,vgood,med,med,2,4,big,high,1.0
442,acc,med,high,3,more,big,med,1.0
443,unacc,med,low,2,2,small,high,1.0
444,unacc,high,med,2,2,med,high,1.0
445,unacc,med,vhigh,3,more,big,low,1.0
446,good,med,low,4,more,small,high,1.0
447,acc,med,med,4,more,big,med,1.0
448,acc,low,high,5more,more,small,med,1.0
449,acc,low,high,2,more,med,high,1.0
450,acc,low,vhigh,5more,more,big,med,1.0
451,unacc,vhigh,high,5more,more,big,med,1.0
452,unacc,vhigh,med,4,2,med,med,1.0
453,acc,med,vhigh,4,more,small,high,1.0
454,unacc,low,med,4,2,small,high,1.0
455,vgood,low,high,3,more,med,high,1.0
456,unacc,vhigh,vhigh,4,more,small,low,1.0
457,unacc,med,high,2,2,big,med,1.0
458,unacc,high,vhigh,2,4,small,med,1.0
459,unacc,vhigh,low,4,more,big,low,1.0
460,unacc,med,high,4,2,small,high,1.0
461,unacc,low,high,2,2,med,low,1.0
462,good,med,low,2,4,big,med,1.0
463,unacc,high,vhigh,2,more,med,med,1.0
464,unacc,vhigh,med,3,more,big,low,1.0
465,unacc,high,high,3,more,big,low,1.0
466,unacc,low,med,2,2,small,high,1.0
467,acc,low,vhigh,4,more,small,high,1.0
468,unacc,high,high,5more,2,big,med,1.0
469,unacc,high,high,4,4,big,low,1.0
470,unacc,high,low,2,more,big,low,1.0
471,acc,high,low,4,more,med,med,1.0
472,unacc,low,high,2,more,big,low,1.0
473,unacc,high,vhigh,2,more,big,low,1.0
474,unacc,low,high,2,more,small,high,1.0
475,unacc,high,vhigh,5more,more,small,low,1.0
476,unacc,med,high,3,2,small,low,1.0
477,acc,low,high,2,4,big,med,1.0
478,unacc,med,med,5more,more,small,low,1.0
479,good,med,low,3,more,med,med,1.0
480,unacc,med,high,5more,2,big,low,1.0
481,acc,med,med,3,4,med,high,1.0
482,vgood,med,low,4,more,med,high,1.0
483,unacc,vhigh,low,2,more,big,low,1.0
484,unacc,vhigh,high,3,more,med,low,1.0
485,unacc,vhigh,vhigh,2,4,med,high,0.25
486,unacc,low,vhigh,2,4,med,low,1.0
487,unacc,high,vhigh,3,4,small,low,1.0
488,acc,high,high,2,4,med,high,0.5
489,unacc,med,high,5more,4,med,low,1.0
490,unacc,med,high,2,2,small,med,1.0
491,unacc,high,high,5more,more,med,high,0.5
492,unacc,high,high,2,4,small,low,1.0
493,unacc,high,vhigh,2,4,med,low,1.0
494,unacc,high,vhigh,4,more,med,low,1.0
495,unacc,vhigh,low,3,2,big,med,1.0
496,unacc,high,low,3,4,med,med,1.0
497,unacc,low,vhigh,5more,more,med,low,1.0
498,unacc,low,med,5more,2,small,low,1.0
499,unacc,med,med,4,2,med,high,1.0
500,acc,low,high,5more,4,small,med,1.0
501,unacc,vhigh,low,3,4,med,med,1.0
502,unacc,vhigh,high,2,2,med,med,1.0
503,unacc,low,vhigh,5more,4,small,med,1.0
504,unacc,vhigh,vhigh,3,more,small,med,1.0
505,acc,high,med,5more,4,small,high,1.0
506,unacc,high,high,3,2,big,low,1.0
507,unacc,vhigh,med,2,more,med,med,1.0
508,unacc,med,vhigh,2,4,med,low,1.0
509,unacc,high,vhigh,3,2,med,med,1.0
510,acc,med,med,2,4,small,med,1.0
511,unacc,low,low,5more,4,small,low,1.0
512,unacc,vhigh,med,4,more,med,low,1.0
513,unacc,low,high,4,2,med,high,1.0
514,unacc,low,vhigh,2,2,small,low,1.0
515,unacc,high,high,2,more,small,high,1.0
516,unacc,high,med,3,more,big,low,1.0
517,unacc,high,vhigh,5more,4,big,high,1.0
518,unacc,high,vhigh,2,2,med,low,1.0
519,acc,med,vhigh,3,4,big,med,1.0
520,unacc,low,vhigh,2,4,small,med,1.0
521,unacc,med,low,2,4,big,low,1.0
522,unacc,vhigh,vhigh,5more,4,med,low,1.0
523,unacc,high,med,4,more,small,low,1.0
524,unacc,vhigh,low,3,2,med,low,1.0
525,acc,med,med,3,more,big,med,1.0
526,unacc,med,high,5more,more,med,low,1.0
527,unacc,vhigh,high,5more,2,small,high,1.0
528,unacc,high,vhigh,5more,2,small,high,1.0
529,unacc,low,med,2,2,big,low,1.0
530,acc,low,high,4,more,small,high,1.0
531,unacc,low,vhigh,3,2,big,high,1.0
532,unacc,med,high,5more,2,big,med,1.0
533,acc,vhigh,vhigh,3,2,small,high,0.25
534,unacc,vhigh,high,4,4,small,low,1.0
535,unacc,med,high,5more,2,med,med,1.0
536,unacc,high,med,3,2,small,med,1.0
537,acc,vhigh,vhigh,3,2,small,low,0.25
538,unacc,low,vhigh,5more,2,big,low,1.0
539,unacc,med,low,3,more,small,low,1.0
540,unacc,vhigh,med,3,2,small,med,1.0
541,unacc,low,vhigh,3,2,small,low,1.0
542,unacc,vhigh,vhigh,5more,4,med,high,1.0
543,unacc,vhigh,low,4,more,med,low,1.0
544,unacc,high,vhigh,2,2,small,med,1.0
545,unacc,med,vhigh,3,more,small,med,1.0
546,unacc,med,low,2,2,med,med,1.0
547,unacc,high,low,3,2,med,high,1.0
548,acc,med,low,3,more,small,med,1.0
549,unacc,high,low,3,more,small,low,1.0
550,unacc,med,vhigh,5more,2,small,med,1.0
551,unacc,med,vhigh,4,2,med,med,1.0
552,unacc,low,vhigh,3,4,big,low,1.0
553,unacc,low,high,4,more,small,low,1.0
554,unacc,low,low,3,4,med,low,1.0
555,unacc,med,low,4,more,med,low,1.0
556,vgood,low,high,5more,4,med,high,1.0
557,unacc,high,high,4,more,small,low,1.0
558,acc,vhigh,vhigh,3,2,med,high,0.25
559,vgood,med,low,4,4,big,high,1.0
560,unacc,med,high,4,2,big,high,1.0
561,unacc,low,vhigh,2,2,big,low,1.0
562,unacc,med,low,4,2,med,med,1.0
563,acc,high,low,4,more,med,high,1.0
564,unacc,low,low,5more,2,small,low,1.0
565,unacc,med,high,4,more,small,med,1.0
566,unacc,vhigh,low,5more,4,med,low,1.0
567,unacc,vhigh,high,4,more,small,low,1.0
568,acc,high,low,2,more,big,high,1.0
569,acc,vhigh,vhigh,2,4,med,low,0.25
570,acc,vhigh,med,3,more,med,med,1.0
571,acc,high,low,4,more,big,high,1.0
572,unacc,low,low,2,4,big,low,1.0
573,vgood,low,high,5more,4,big,high,1.0
574,unacc,vhigh,high,3,4,small,high,1.0
575,unacc,high,low,3,2,small,med,1.0
576,unacc,high,low,5more,4,med,low,1.0
577,unacc,low,med,2,4,small,low,1.0
578,unacc,low,med,4,2,med,low,1.0
579,unacc,vhigh,high,5more,4,small,med,1.0
580,unacc,high,low,4,2,small,low,1.0
581,unacc,low,high,5more,2,med,low,1.0
582,unacc,vhigh,high,3,2,med,med,1.0
583,unacc,vhigh,low,3,more,small,low,1.0
584,acc,high,med,5more,4,big,high,1.0
585,unacc,low,med,4,2,med,high,1.0
586,unacc,low,med,5more,2,small,high,1.0
587,acc,low,low,2,more,med,med,1.0
588,unacc,high,low,3,2,med,med,1.0
589,unacc,high,high,5more,more,small,low,1.0
590,unacc,vhigh,vhigh,5more,more,big,high,1.0
591,acc,low,vhigh,5more,4,big,med,1.0
