,verdict,buying,maint,doors,persons,lug_boot,safety,condprob
486,good,med,low,5more,4,big,med,1.0
487,unacc,vhigh,low,4,2,big,med,1.0
488,unacc,low,med,5more,2,med,high,1.0
489,acc,high,med,5more,more,big,med,1.0
490,vgood,med,med,4,more,big,high,1.0
491,acc,high,med,5more,more,med,med,1.0
492,unacc,high,vhigh,2,2,big,med,1.0
493,unacc,low,high,2,more,small,med,1.0
494,unacc,high,high,4,2,big,low,1.0
495,good,low,low,4,more,med,med,1.0
496,unacc,med,low,3,2,big,low,1.0
497,acc,med,med,2,4,big,med,1.0
498,unacc,vhigh,low,2,more,small,high,1.0
499,unacc,med,vhigh,5more,4,small,med,1.0
500,acc,low,vhigh,5more,more,med,med,1.0
501,unacc,high,low,5more,2,med,high,1.0
502,unacc,vhigh,high,4,more,small,high,1.0
503,unacc,high,low,3,more,big,low,1.0
504,unacc,vhigh,vhigh,2,4,small,high,0.75
505,vgood,med,low,4,more,med,high,1.0
506,unacc,low,vhigh,2,more,small,med,1.0
507,unacc,low,vhigh,3,more,med,low,1.0
508,unacc,vhigh,high,2,4,small,med,1.0
509,unacc,vhigh,vhigh,5more,4,med,low,1.0
510,unacc,low,vhigh,4,2,med,med,1.0
511,unacc,high,high,4,2,small,high,1.0
512,unacc,vhigh,high,3,more,big,high,1.0
513,acc,med,med,3,4,med,high,1.0
514,unacc,high,vhigh,4,2,big,low,1.0
515,vgood,low,high,3,more,med,high,1.0
516,unacc,low,low,3,2,big,high,1.0
517,unacc,med,high,5more,more,small,med,1.0
518,unacc,vhigh,vhigh,2,more,med,low,0.75
519,vgood,low,high,5more,4,med,high,1.0
520,unacc,med,low,3,2,big,med,1.0
521,unacc,vhigh,vhigh,3,2,small,high,0.75
522,acc,med,high,4,more,small,high,1.0
523,unacc,low,vhigh,4,more,small,med,1.0
524,unacc,med,med,3,2,big,low,1.0
525,unacc,low,high,3,4,med,low,1.0
526,acc,low,high,5more,4,big,med,1.0
527,unacc,high,med,4,2,small,low,1.0
528,acc,high,low,3,more,med,high,1.0
529,unacc,med,high,5more,2,med,med,1.0
530,acc,low,high,2,more,big,med,1.0
531,acc,vhigh,vhigh,2,more,small,med,0.25
532,acc,med,med,2,more,med,med,1.0
533,unacc,high,vhigh,5more,4,med,med,1.0
534,unacc,med,vhigh,4,more,big,low,1.0
535,unacc,vhigh,low,2,2,med,low,1.0
536,unacc,med,med,5more,more,med,low,1.0
537,unacc,high,vhigh,2,more,med,high,1.0
538,unacc,high,med,3,more,small,low,1.0
539,unacc,low,high,2,2,big,med,1.0
540,good,low,med,5more,4,med,med,1.0
541,unacc,low,med,5more,2,med,low,1.0
542,unacc,low,high,4,4,small,low,1.0
543,vgood,med,low,3,more,big,high,1.0
544,unacc,high,vhigh,2,2,small,med,1.0
545,acc,vhigh,med,4,4,small,high,1.0
546,unacc,low,vhigh,2,2,big,med,1.0
547,unacc,high,vhigh,2,4,big,med,1.0
548,unacc,med,high,5more,2,big,low,1.0
549,unacc,high,low,4,2,med,med,1.0
550,acc,vhigh,vhigh,2,2,med,high,0.3333333333333333
551,unacc,high,high,5more,2,big,high,1.0
552,unacc,high,med,2,4,med,med,1.0
553,unacc,med,low,3,4,med,low,1.0
554,vgood,low,med,2,4,big,high,1.0
555,unacc,high,high,2,more,small,low,1.0
556,acc,med,high,4,4,small,high,1.0
557,unacc,vhigh,high,2,more,med,low,1.0
558,acc,high,high,4,more,med,med,0.5
559,unacc,high,vhigh,3,2,big,med,1.0
560,acc,med,vhigh,5more,more,med,med,1.0
561,unacc,med,vhigh,4,4,small,med,1.0
562,unacc,high,low,3,2,big,high,1.0
563,vgood,med,low,5more,more,big,high,1.0
564,unacc,vhigh,high,2,2,big,high,1.0
565,unacc,med,med,4,2,med,low,1.0
566,unacc,high,low,5more,2,med,med,1.0
567,acc,low,vhigh,2,more,big,med,1.0
568,unacc,low,high,2,4,med,low,1.0
569,acc,vhigh,med,4,more,big,high,1.0
570,unacc,vhigh,high,5more,more,small,high,1.0
571,unacc,vhigh,med,2,more,big,low,1.0
572,unacc,low,vhigh,3,4,small,med,1.0
573,acc,high,high,3,more,big,med,0.5
574,unacc,vhigh,med,2,4,big,low,1.0
575,vgood,low,high,5more,more,big,high,1.0
576,unacc,vhigh,low,3,2,small,low,1.0
577,unacc,med,high,4,2,small,high,1.0
578,good,low,med,2,more,big,med,1.0
579,unacc,med,low,4,2,big,med,1.0
580,unacc,med,vhigh,3,more,med,low,1.0
581,vgood,med,med,5more,more,big,high,1.0
582,unacc,vhigh,high,3,4,med,med,1.0
583,unacc,high,vhigh,3,4,med,med,1.0
584,unacc,low,low,2,2,big,low,1.0
585,acc,med,high,3,more,med,med,1.0
586,unacc,med,high,5more,more,big,low,1.0
587,unacc,vhigh,low,5more,2,big,low,1.0
588,unacc,high,high,5more,more,med,med,0.5
589,unacc,vhigh,high,4,more,med,med,1.0
590,unacc,med,vhigh,5more,more,small,low,1.0
591,unacc,vhigh,high,3,more,med,high,1.0
