,verdict,buying,doors,persons,safety,condprob
47,unacc,med,4,more,med,0.16666666666666666
48,unacc,vhigh,3,2,low,0.8571428571428571
49,good,med,3,4,med,0.08333333333333333
50,good,med,3,more,high,0.08333333333333333
51,acc,low,3,more,high,0.3333333333333333
52,good,low,5more,more,high,0.16666666666666666
53,good,low,4,more,high,0.16666666666666666
54,good,low,4,4,high,0.16666666666666666
55,acc,high,2,more,med,0.2
56,acc,high,5more,4,high,0.6
57,unacc,med,2,2,high,1.0
58,unacc,med,5more,4,med,0.16666666666666666
59,unacc,low,3,more,med,0.08333333333333333
60,unacc,high,4,4,low,1.0
61,unacc,vhigh,3,more,high,0.5
62,unacc,med,3,2,low,1.0
63,acc,low,4,4,high,0.3333333333333333
64,acc,med,4,4,high,0.5833333333333334
65,acc,vhigh,5more,4,high,0.5
66,good,med,3,4,high,0.16666666666666666
67,unacc,low,5more,2,high,1.0
68,good,low,2,more,med,0.16666666666666666
69,unacc,vhigh,3,2,high,0.8947368421052632
70,good,low,5more,more,med,0.3333333333333333
71,good,med,4,4,high,0.08333333333333333
72,acc,high,5more,4,med,0.4
73,unacc,vhigh,3,4,med,0.8571428571428571
74,unacc,low,4,2,med,1.0
75,unacc,med,4,2,med,1.0
76,unacc,vhigh,4,4,low,1.0
77,unacc,vhigh,4,2,med,1.0
78,unacc,high,3,2,low,1.0
79,acc,low,4,4,med,0.5833333333333334
80,acc,med,4,4,med,0.6666666666666666
81,unacc,low,4,more,low,1.0
82,unacc,high,5more,2,high,1.0
83,vgood,med,4,more,high,0.3333333333333333
84,acc,vhigh,5more,more,med,0.3333333333333333
85,vgood,low,5more,more,high,0.5
86,unacc,vhigh,4,4,high,0.5
87,unacc,high,3,4,low,1.0
88,unacc,high,3,more,high,0.4
89,vgood,low,2,4,high,0.25
90,unacc,high,3,4,high,0.4
91,vgood,low,2,more,high,0.25
92,acc,high,3,more,med,0.4
93,acc,high,5more,more,med,0.35294117647058826
94,acc,low,5more,more,high,0.3333333333333333
95,acc,low,4,more,high,0.3333333333333333
96,unacc,vhigh,4,2,high,1.0
97,acc,low,5more,4,med,0.5833333333333334
98,unacc,vhigh,4,more,high,0.5
99,unacc,vhigh,5more,more,med,0.6666666666666666
100,acc,high,4,more,med,0.4
101,unacc,low,3,2,med,1.0
102,unacc,low,4,4,low,1.0
103,unacc,vhigh,3,4,low,1.0
104,unacc,low,5more,more,low,1.0
105,unacc,med,3,2,med,1.0
106,acc,vhigh,2,2,low,0.2631578947368421
107,unacc,med,3,more,low,1.0
108,good,med,2,4,med,0.08333333333333333
109,unacc,high,3,2,high,1.0
110,unacc,high,5more,4,med,0.6
111,unacc,low,4,4,med,0.08333333333333333
112,vgood,low,4,more,high,0.5
113,unacc,med,2,more,high,0.3333333333333333
114,vgood,low,4,4,high,0.5
115,acc,high,4,4,high,0.6
116,good,low,2,4,high,0.3333333333333333
117,good,med,5more,4,high,0.08333333333333333
118,acc,vhigh,3,more,high,0.5
119,unacc,low,3,2,high,1.0
120,unacc,high,2,2,med,1.0
121,unacc,vhigh,4,4,med,0.6666666666666666
122,unacc,high,4,2,high,1.0
123,unacc,med,3,2,high,1.0
124,acc,low,3,4,med,0.6666666666666666
125,unacc,med,3,more,med,0.16666666666666666
126,acc,low,2,4,med,0.6666666666666666
127,unacc,vhigh,3,more,med,0.6666666666666666
128,unacc,vhigh,2,4,med,0.7619047619047619
129,unacc,low,2,more,low,1.0
130,unacc,vhigh,3,4,high,0.5714285714285714
131,acc,vhigh,2,4,low,0.14285714285714285
132,unacc,low,4,more,med,0.08333333333333333
133,unacc,high,2,more,high,0.6
134,acc,vhigh,3,2,med,0.10526315789473684
135,acc,vhigh,3,4,med,0.14285714285714285
136,acc,med,4,more,high,0.5833333333333334
137,good,med,5more,more,high,0.08333333333333333
138,acc,low,3,more,med,0.5833333333333334
139,unacc,high,3,2,med,1.0
140,unacc,low,3,4,med,0.16666666666666666
141,unacc,med,2,more,low,1.0
142,good,low,4,4,med,0.3333333333333333
143,unacc,med,4,2,low,1.0
144,acc,vhigh,4,4,med,0.3333333333333333
145,acc,med,3,more,med,0.6666666666666666
146,unacc,med,2,2,low,1.0
147,unacc,med,5more,more,low,1.0
148,unacc,high,5more,more,low,1.0
149,unacc,med,5more,2,med,1.0
150,acc,vhigh,3,2,high,0.10526315789473684
151,acc,vhigh,3,4,high,0.42857142857142855
152,unacc,vhigh,2,2,med,0.7894736842105263
153,good,low,2,more,high,0.16666666666666666
154,good,med,3,more,med,0.16666666666666666
155,unacc,high,5more,2,low,1.0
156,acc,vhigh,3,2,low,0.14285714285714285
157,unacc,high,5more,more,high,0.47058823529411764
158,unacc,vhigh,4,2,low,1.0
159,unacc,high,3,more,low,1.0
160,unacc,high,4,2,low,1.0
161,unacc,low,3,more,low,1.0
162,acc,med,3,4,med,0.5833333333333334
163,unacc,low,2,more,med,0.4166666666666667
164,good,med,4,more,med,0.16666666666666666
165,acc,med,3,more,high,0.5833333333333334
166,unacc,vhigh,5more,4,high,0.5
167,unacc,med,4,2,high,1.0
168,unacc,med,4,more,low,1.0
169,acc,high,2,4,med,0.1875
170,unacc,vhigh,2,more,low,0.8571428571428571
171,unacc,high,4,more,med,0.6
172,unacc,high,4,4,high,0.4
173,acc,vhigh,4,more,med,0.3333333333333333
174,unacc,high,3,4,med,0.8
175,acc,high,3,more,high,0.6
176,vgood,med,5more,more,high,0.3333333333333333
177,unacc,vhigh,2,more,med,0.7619047619047619
178,good,med,4,4,med,0.16666666666666666
179,unacc,low,5more,2,low,1.0
180,acc,med,2,more,med,0.4166666666666667
181,good,low,3,4,high,0.3333333333333333
182,acc,low,5more,4,high,0.3333333333333333
183,unacc,vhigh,4,more,med,0.6666666666666666
184,unacc,low,3,2,low,1.0
185,unacc,low,5more,2,med,1.0
186,unacc,high,2,4,med,0.8125
187,acc,vhigh,2,4,high,0.42857142857142855
188,good,med,2,4,high,0.16666666666666666
189,unacc,med,5more,more,med,0.16666666666666666
190,acc,med,5more,more,high,0.5833333333333334
191,unacc,high,2,2,low,1.0
192,unacc,med,4,4,low,1.0
193,acc,med,2,4,high,0.6666666666666666
194,unacc,vhigh,5more,more,high,0.5
195,good,med,5more,4,med,0.16666666666666666
196,acc,vhigh,2,4,med,0.23809523809523808
197,unacc,high,2,more,low,1.0
198,unacc,med,2,2,med,1.0
199,unacc,vhigh,5more,2,med,1.0
200,unacc,med,2,4,med,0.3333333333333333
201,acc,low,4,more,med,0.5833333333333334
202,acc,high,2,more,high,0.4
203,unacc,high,4,more,low,1.0
204,unacc,high,2,more,med,0.8
205,good,low,5more,4,med,0.3333333333333333
206,acc,med,2,4,med,0.5833333333333334
207,good,low,3,more,med,0.3333333333333333
208,acc,vhigh,5more,4,med,0.3333333333333333
209,unacc,med,5more,2,low,1.0
210,unacc,high,2,4,high,0.375
211,unacc,vhigh,2,2,low,0.7368421052631579
212,unacc,med,3,4,med,0.3333333333333333
213,acc,high,3,4,high,0.6
214,acc,med,5more,4,med,0.6666666666666666
215,unacc,vhigh,5more,more,low,1.0
216,unacc,low,2,4,low,1.0
217,unacc,vhigh,2,4,high,0.5714285714285714
218,acc,vhigh,2,2,high,0.21052631578947367
219,unacc,vhigh,2,more,high,0.6666666666666666
220,unacc,med,4,4,med,0.16666666666666666
221,unacc,vhigh,2,2,high,0.7894736842105263
222,unacc,low,2,2,low,1.0
223,good,low,4,more,med,0.3333333333333333
224,good,med,2,more,med,0.08333333333333333
225,acc,med,3,4,high,0.6666666666666666
226,unacc,low,2,more,high,0.3333333333333333
227,good,med,4,more,high,0.08333333333333333
228,vgood,low,3,more,high,0.5
229,vgood,med,3,more,high,0.3333333333333333
230,acc,high,5more,more,high,0.5294117647058824
231,unacc,low,2,2,med,1.0
232,unacc,low,5more,4,med,0.08333333333333333
233,unacc,high,4,more,high,0.4
234,unacc,vhigh,4,more,low,1.0
235,acc,high,2,4,high,0.625
236,acc,med,4,more,med,0.6666666666666666
237,unacc,high,4,4,med,0.6
238,acc,vhigh,2,more,med,0.23809523809523808
239,good,med,2,more,high,0.08333333333333333
240,vgood,low,3,4,high,0.25
241,unacc,low,5more,4,low,1.0
242,unacc,low,4,2,low,1.0
243,acc,vhigh,4,4,high,0.5
244,vgood,med,5more,4,high,0.3333333333333333
245,acc,low,2,more,med,0.4166666666666667
246,unacc,low,4,2,high,1.0
247,unacc,low,2,2,high,1.0
248,unacc,high,5more,2,med,1.0
249,acc,med,2,more,high,0.4166666666666667
